ticker,avg_yearly_returns,yearly_variance
AAN,0.08014267721815725,0.04817018292725178
AAON,0.1000590762657267,0.07951585054673567
AAP,0.16566517730811986,0.12471461999273215
AAPL,-0.005033159726624831,0.16188242134637584
ABC,0.13187967355131364,0.0834155471385236
ABG,0.19674931182574049,0.09231397817782044
ABM,0.08093415366286642,0.06213010296493096
ABMD,0.5819277526142085,0.2742160948653343
ABT,0.15594388891377522,0.035877397503017515
ACET,0.048959945973052275,0.5844245286630398
ACGL,0.1217952372275237,0.02633958158131977
ACHC,0.28235722710543015,0.45544332241605573
ACLS,0.8622861967775827,3.0851993460954823
ACN,0.1524962437944762,0.015920336687692663
ACTG,-0.2078789842504001,0.18407997423935127
ADBE,0.35715263774936695,0.041366153375486096
ADC,0.13380232633137834,0.010797994413444263
ADI,0.14015129552013658,0.017456235176604152
ADM,0.07746983759086844,0.07843614415693152
ADP,0.1410678874490337,0.018110086679520503
ADSK,0.22946227826062904,0.019130663094628488
ADTN,-0.09619946493774302,0.09794433746201654
AEE,0.10381591785111735,0.01874911339935561
AEGN,0.026652612508586075,0.06304718138610572
AEIS,0.2780859966944501,0.18700143090503527
AEL,0.20813004734305054,0.20335510251927272
AEO,0.03779422355559836,0.0384992522068534
AEP,0.08958841219833406,0.012460438559836475
AES,0.04758217940085171,0.06027113590084349
AFG,0.1466118391126667,0.037939883589447256
AGCO,0.04851718470418091,0.04643203245339896
AGEN,0.10169564665503154,0.25074989103667766
AGM,0.24315094429746176,0.18141319498218447
AGN,0.19201677117788618,0.21874231788871382
AGX,0.21814685229099198,0.2769303837415675
AGYS,0.10923922790194375,0.07290974271168008
AHL,0.07637080741486639,0.029482762406369295
AHT,-0.05496528356647671,0.09829724437125649
AI,-0.10417259610451736,0.0724551720812232
AIN,0.1595204230644641,0.05175394560217361
AIR,0.10682444012979746,0.04295171847018348
AIT,0.07536520097030452,0.05483940896452375
AIV,0.10115007643935636,0.0292007384508043
AKAM,0.1035581017946728,0.03817155933671773
AKRX,0.08942763569488055,0.3338899748963516
ALE,0.09144319140864714,0.016630717812798797
ALG,0.2136991280087803,0.16237050244629966
ALGN,0.4275165099530512,0.28257079606701047
ALK,0.019587232905235435,0.14228872049464958
ALKS,0.1734068044533146,0.2882828581781924
ALL,0.19618030629347505,0.0673839799316025
ALTR,0.021188960342426916,0.017076047991741936
ALX,-0.014877646665400954,0.03530825274245481
ALXN,0.07394603495083428,0.08531780626138813
AMAT,0.24143802921010224,0.19187173989225192
AMD,0.48747479865873355,1.51818281262498
AME,0.08151229284830863,0.058464768075205197
AMG,0.0663108487069718,0.16104740683307195
AMKR,0.10254326153811866,0.1450505794762386
AMNB,0.07077803426289117,0.04136542705544069
AMSC,1.1253011603168124,8.662622399199266
AMSWA,0.013717204897587107,0.024397909829176376
AMT,0.15159352110019583,0.018572503612620778
AMWD,0.3516522752963059,0.3345639689589388
AN,0.000492613371090476,0.048536420900217495
ANDE,0.03988309140980993,0.28201391313790297
ANIK,0.3973866558871109,1.142193242911721
ANIP,2.602269046331227,30.86279400854627
ANSS,0.152795947116438,0.0497459163352414
ANTM,0.23344838365017329,0.06164770302536129
AON,0.180106151991906,0.026581896758400832
AOS,0.05464336440664767,0.12263932923268335
AP,-0.11937402929029532,0.19886431972038243
APA,-0.1343277861574851,0.08596656286951686
APC,-0.05213639693308392,0.07290612959667432
APH,0.12022995259478644,0.0882622319182198
ARCB,0.33553568665422145,1.0232747204527601
ARE,0.08310319489703788,0.03740864130884835
ARNA,3.5629427667696283,72.62020860300942
ARNC,0.18638930286403857,0.2403538721034422
ARQL,0.018232775193981636,0.3041829111610943
ARRS,0.1773678715407693,0.06312397534079797
ARRY,0.3503487875421838,0.1985404428243275
ARTNA,0.09712160106870578,0.016157090354483452
ARW,0.09794353580446928,0.04113658565543687
ARWR,0.8389204585702922,3.1719054824060895
ASGN,0.28547183834638046,0.13044013215846453
ASH,0.05006383368498803,0.060061969396894586
ASNA,-0.25746866874868973,0.07740807793717429
ASTE,0.031081862389416737,0.12393676629059132
ATI,-0.1019947267137774,0.155123813004256
ATNI,0.11444132814850594,0.06908675452193515
ATO,0.15271129908480252,0.007117197927154883
ATR,0.08668921697628343,0.024228051451026248
ATRI,0.19193058129093926,0.04498330115631118
ATRO,0.07390139070309457,0.2662658539817643
ATRS,0.32984758313169926,0.6239013837669067
ATSG,0.2836119895867745,0.16152831449802593
ATU,-0.005794975443286253,0.04004465407249553
ATVI,0.2794962700619231,0.22556074432709114
AVA,0.0820151708995968,0.02993634870982349
AVB,0.04522431155133101,0.027948315335182387
AVD,0.13087541708227027,0.3520859221994561
AVNW,2.420434333237224,43.89974886556212
AVP,-0.1837978519530785,0.11095335015357692
AVT,0.026837276579805468,0.036213606795056946
AVX,0.03268531650052296,0.0381190015122086
AXAS,0.014183129415443117,0.49521397004503864
AXE,0.014301419976285297,0.0802163501688606
AXL,0.054154819285942714,0.1332186977956287
AXP,0.1251937059337642,0.06944510325431248
AXS,0.08028125408652922,0.031562351188792005
AZO,0.14970255802836258,0.022391118002379553
AZPN,0.2653912784585234,0.0665899675436579
AZZ,-0.0067626503310666474,0.04006504901882358
B,0.14431631141988482,0.09427185362615603
BABY,0.2554713758150772,0.17891531033960437
BAC,0.2652106691560399,0.14993403529818947
BANC,0.054258580168028335,0.051677863235560305
BANF,0.08671919782373624,0.10941472063649871
BANR,0.19826082164680958,0.08928821986209239
BAX,0.22024436047466414,0.1987530523999609
BBBY,-0.11484897198317191,0.10069185839737065
BBGI,0.25377988694761483,0.5290546828556694
